"Molecule ChEMBL ID"	"Molecule Name"	"Molecule Max Phase"	"Molecular Weight"	"#RO5 Violations"	"AlogP"	"Compound Key"	"Smiles"	"Standard Type"	"Standard Relation"	"Standard Value"	"Standard Units"	"pChEMBL Value"	"Data Validity Comment"	"Comment"	"Uo Units"	"Ligand Efficiency BEI"	"Ligand Efficiency LE"	"Ligand Efficiency LLE"	"Ligand Efficiency SEI"	"Potential Duplicate"	"Assay ChEMBL ID"	"Assay Description"	"Assay Type"	"BAO Format ID"	"BAO Label"	"Assay Organism"	"Assay Tissue ChEMBL ID"	"Assay Tissue Name"	"Assay Cell Type"	"Assay Subcellular Fraction"	"Assay Parameters"	"Assay Variant Accession"	"Assay Variant Mutation"	"Target ChEMBL ID"	"Target Name"	"Target Organism"	"Target Type"	"Document ChEMBL ID"	"Source ID"	"Source Description"	"Document Journal"	"Document Year"	"Cell ChEMBL ID"	"Properties"
"CHEMBL180422"	""	"0"	"243.25"	"0"	"1.60"	"27"	"Nc1ncnc2ncn(Cc3ccc(F)cc3)c12"	"Inhibition"	"'='"	"4.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL832005"	"Inhibition of human c-Jun N-terminal kinase-1 alpha-1 at 30 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141882"	"1"	"Scientific Literature"	"J. Med. Chem."	"2005"	"None"	""
"CHEMBL175622"	""	"0"	"260.30"	"0"	"2.65"	"12"	"Cn1cnc2c(Sc3ccc(F)cc3)ncnc21"	"Inhibition"	"'='"	"10.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL832005"	"Inhibition of human c-Jun N-terminal kinase-1 alpha-1 at 30 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141882"	"1"	"Scientific Literature"	"J. Med. Chem."	"2005"	"None"	""
"CHEMBL175451"	""	"0"	"260.30"	"0"	"2.74"	"14"	"Fc1ccc(CSc2[nH]cnc3ncnc2-3)cc1"	"Inhibition"	"'='"	"0.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL832005"	"Inhibition of human c-Jun N-terminal kinase-1 alpha-1 at 30 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141882"	"1"	"Scientific Literature"	"J. Med. Chem."	"2005"	"None"	""
"CHEMBL118258"	""	"0"	"486.54"	"0"	"4.62"	"45"	"CN1CCC(O)(c2cn(-c3ccnc(NC4CCCC4)n3)c(-c3cccc(C(F)(F)F)c3)n2)CC1"	"IC50"	"'>'"	"10000.0"	"nM"	""	""	""	"UO_0000065"	""	""	""	""	"0"	"CHEMBL818504"	"Inhibition of human c-Jun N-terminal kinase 1"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1147483"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2004"	"None"	""
"CHEMBL369181"	""	"0"	"262.68"	"0"	"2.67"	"23"	"Fc1ccc(Cn2cnc3c(Cl)ncnc32)cc1"	"Inhibition"	"'='"	"0.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL832005"	"Inhibition of human c-Jun N-terminal kinase-1 alpha-1 at 30 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141882"	"1"	"Scientific Literature"	"J. Med. Chem."	"2005"	"None"	""
"CHEMBL504805"	""	"0"	"396.37"	"0"	"4.36"	"16"	"Cc1ccn(-c2cccc(C(F)(F)F)c2)c(=O)c1-c1ccc2nc(N)ncc2c1"	"Inhibition"	"'>'"	"50.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL955831"	"Inhibition of JNK1 at 1 uM relative to control"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1150317"	"1"	"Scientific Literature"	"J. Med. Chem."	"2008"	"None"	""
"CHEMBL559147"	"Y-27632"	"0"	"247.34"	"0"	"2.17"	"Y-27632"	"C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1"	"Residual Activity"	"'='"	"110.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2219232"	"Millipore: Percentage of residual kinase activity of MAPK8 at 10uM relative to control. Control inhibitor: Jnk Inhibitor II at 100.0uM. Buffer: 50 mM Tris pH 7.5, 0.1 mM EGTA, 0.1% ? -mercaptoethanol"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2218924"	"1"	"Scientific Literature"	"Biochem. J."	"2013"	"None"	""
"CHEMBL126077"	"INDIRUBIN-3-MONOXIME"	"0"	"277.28"	"0"	"4.42"	"Indirubin_oxime"	"O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2ccccc12"	"Residual Activity"	"'='"	"70.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2219232"	"Millipore: Percentage of residual kinase activity of MAPK8 at 10uM relative to control. Control inhibitor: Jnk Inhibitor II at 100.0uM. Buffer: 50 mM Tris pH 7.5, 0.1 mM EGTA, 0.1% ? -mercaptoethanol"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2218924"	"1"	"Scientific Literature"	"Biochem. J."	"2013"	"None"	""
"CHEMBL259551"	""	"0"	"327.35"	"0"	"2.92"	"FR-180204"	"Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12"	"Residual Activity"	"'='"	"71.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2219232"	"Millipore: Percentage of residual kinase activity of MAPK8 at 10uM relative to control. Control inhibitor: Jnk Inhibitor II at 100.0uM. Buffer: 50 mM Tris pH 7.5, 0.1 mM EGTA, 0.1% ? -mercaptoethanol"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2218924"	"1"	"Scientific Literature"	"Biochem. J."	"2013"	"None"	""
"CHEMBL403183"	""	"0"	"207.25"	"0"	"1.81"	"BAY-117082"	"Cc1ccc(S(=O)(=O)/C=C/C#N)cc1"	"Residual Activity"	"'='"	"96.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2219232"	"Millipore: Percentage of residual kinase activity of MAPK8 at 10uM relative to control. Control inhibitor: Jnk Inhibitor II at 100.0uM. Buffer: 50 mM Tris pH 7.5, 0.1 mM EGTA, 0.1% ? -mercaptoethanol"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2218924"	"1"	"Scientific Literature"	"Biochem. J."	"2013"	"None"	""
"CHEMBL290904"	""	"0"	"284.34"	"0"	"3.13"	"Cdk4_inhibitor_III"	"Cc1ccc(NC2=CC(=O)c3sc(C)nc3C2=O)cc1"	"Residual Activity"	"'='"	"92.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2219232"	"Millipore: Percentage of residual kinase activity of MAPK8 at 10uM relative to control. Control inhibitor: Jnk Inhibitor II at 100.0uM. Buffer: 50 mM Tris pH 7.5, 0.1 mM EGTA, 0.1% ? -mercaptoethanol"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2218924"	"1"	"Scientific Literature"	"Biochem. J."	"2013"	"None"	""
"CHEMBL367625"	""	"0"	"385.90"	"0"	"3.93"	"CGP-74514A"	"CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3N)nc21"	"Residual Activity"	"'='"	"96.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2219232"	"Millipore: Percentage of residual kinase activity of MAPK8 at 10uM relative to control. Control inhibitor: Jnk Inhibitor II at 100.0uM. Buffer: 50 mM Tris pH 7.5, 0.1 mM EGTA, 0.1% ? -mercaptoethanol"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2218924"	"1"	"Scientific Literature"	"Biochem. J."	"2013"	"None"	""
"CHEMBL1725279"	"SP-600125"	"0"	"220.23"	"0"	"4.43"	"SP600125"	"Oc1c2ccccc2c2c3c(cccc13)N=N2"	"Residual Activity"	"'='"	"5.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL2219232"	"Millipore: Percentage of residual kinase activity of MAPK8 at 10uM relative to control. Control inhibitor: Jnk Inhibitor II at 100.0uM. Buffer: 50 mM Tris pH 7.5, 0.1 mM EGTA, 0.1% ? -mercaptoethanol"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL2218924"	"1"	"Scientific Literature"	"Biochem. J."	"2013"	"None"	""
"CHEMBL467581"	"GSK-2219385A"	"0"	"520.57"	"1"	"3.52"	"13"	"COc1cc(C)c(N(C)C(=O)CN(C)C)cc1Nc1nc(Nc2cccc(F)c2C(N)=O)c2cc[nH]c2n1"	"IC50"	"'='"	"10000.0"	"nM"	"5.00"	""	""	"UO_0000065"	"9.60"	"0.18"	"1.48"	"3.53"	"0"	"CHEMBL1033173"	"Inhibition of His-tagged JNK1"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1154536"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2009"	"None"	""
"CHEMBL386636"	""	"0"	"338.37"	"0"	"3.97"	"7"	"O=C1NC(=O)c2c1c1c(c3[nH]c4ccccc4c23)CCc2ccccc2-1"	"Inhibition"	"'<'"	"30.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL911994"	"Inhibition of JNK1 at 1 uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1141396"	"1"	"Scientific Literature"	"J. Med. Chem."	"2007"	"None"	""
"CHEMBL1288932"	""	"0"	"259.33"	"0"	"3.13"	"19"	"CC(=O)c1sccc1NC(=O)Cc1ccccc1"	"IC50"	"'='"	"6300.0"	"nM"	"5.20"	""	""	"UO_0000065"	"20.05"	"0.39"	"2.07"	"11.26"	"0"	"CHEMBL1291185"	"Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1287787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1288245"	""	"0"	"332.43"	"0"	"2.65"	"27"	"COCCN(C)C(=O)c1sccc1NC(=O)Cc1ccccc1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL1291185"	"Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1287787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1287859"	""	"0"	"325.39"	"0"	"3.87"	"36"	"COC(=O)c1cscc1NC(=O)Cc1cccc2ccccc12"	"IC50"	"'='"	"890.0"	"nM"	"6.05"	""	""	"UO_0000065"	"18.59"	"0.36"	"2.18"	"10.92"	"0"	"CHEMBL1291185"	"Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1287787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1287916"	""	"0"	"334.40"	"0"	"3.87"	"5"	"O=C(Cc1cccc2ccccc12)Nc1ccsc1-c1nc[nH]n1"	"IC50"	"'='"	"530.0"	"nM"	"6.28"	""	""	"UO_0000065"	"18.77"	"0.36"	"2.41"	"8.88"	"0"	"CHEMBL1291185"	"Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1287787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL1287974"	""	"0"	"348.43"	"0"	"4.18"	"44"	"Cc1nc(-c2sccc2NC(=O)Cc2cccc3ccccc23)n[nH]1"	"IC50"	"'='"	"250.0"	"nM"	"6.60"	""	""	"UO_0000065"	"18.95"	"0.36"	"2.42"	"9.34"	"0"	"CHEMBL1291185"	"Inhibition of recombinant JNK1 after 60 mins by TR-FRET assay"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1287787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2010"	"None"	""
"CHEMBL7463"	"GF-109203"	"0"	"412.49"	"0"	"3.64"	"Bis-1"	"CN(C)CCCn1cc(C2=C(c3c[nH]c4ccccc34)C(=O)NC2=O)c2ccccc21"	"Inhibition"	"'='"	"91.0"	"%"	""	""	""	"UO_0000187"	""	""	""	""	"0"	"CHEMBL1249568"	"Inhibition of His-tagged human JNK1a1/SAPK1c expressed in Escherichia coli at 1 uM"	"B"	"BAO_0000019"	"assay format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1240295"	"1"	"Scientific Literature"	"Biochem. J."	"2000"	"None"	""
"CHEMBL242701"	""	"0"	"301.35"	"0"	"3.49"	"6c"	"CCCCCOc1nccc(Nc2ccccc2C(=O)O)n1"	"IC50"	"'='"	"1100.0"	"nM"	"5.96"	""	""	"UO_0000065"	"19.77"	"0.37"	"2.47"	"7.06"	"0"	"CHEMBL905885"	"Inhibition at human JNK1 at 1uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2007"	"None"	""
"CHEMBL1761556"	""	"0"	"440.47"	"0"	"3.45"	"8b"	"c1cc(-n2cnc(N3CCOCC3)n2)ccc1Nc1ncc2ccc(-c3cnoc3)cc2n1"	"IC50"	""	""	""	""	""	"Not Determined"	""	""	""	""	""	"0"	"CHEMBL1763332"	"Inhibition of JNK1 by HRTF"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1759990"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2011"	"None"	""
"CHEMBL1761562"	""	"0"	"445.49"	"0"	"4.42"	"8h"	"Cn1cc(-c2ccc3cnc(Nc4ccc(-n5cnc(-c6ccccn6)n5)cc4)nc3c2)cn1"	"IC50"	"'='"	"100.0"	"nM"	"7.00"	""	""	"UO_0000065"	"15.71"	"0.28"	"2.58"	"7.05"	"0"	"CHEMBL1763332"	"Inhibition of JNK1 by HRTF"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1759990"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2011"	"None"	""
"CHEMBL1761565"	""	"0"	"497.53"	"0"	"4.61"	"9c"	"COc1ccc(-c2cccc3cnc(Nc4ccc(-n5cnc(N6CCOCC6)n5)cc4)nc23)cc1F"	"IC50"	"'='"	"90.0"	"nM"	"7.05"	""	""	"UO_0000065"	"14.16"	"0.26"	"2.44"	"7.81"	"0"	"CHEMBL1763332"	"Inhibition of JNK1 by HRTF"	"B"	"BAO_0000357"	"single protein format"	"None"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1759990"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2011"	"None"	""
"CHEMBL394816"	""	"0"	"391.43"	"0"	"3.50"	"8n"	"O=C(O)c1ccccc1Nc1ccnc(Nc2ccc(N3CCOCC3)cc2)n1"	"IC50"	"'='"	"37.0"	"nM"	"7.43"	""	""	"UO_0000065"	"18.99"	"0.35"	"3.93"	"7.46"	"0"	"CHEMBL905885"	"Inhibition at human JNK1 at 1uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2007"	"None"	""
"CHEMBL438515"	""	"0"	"324.32"	"0"	"3.80"	"8e"	"O=C(O)c1ccccc1Nc1ccnc(Nc2ccccc2F)n1"	"IC50"	"'='"	"35.0"	"nM"	"7.46"	""	""	"UO_0000065"	"22.99"	"0.42"	"3.66"	"8.56"	"0"	"CHEMBL905885"	"Inhibition at human JNK1 at 1uM"	"B"	"BAO_0000357"	"single protein format"	"Homo sapiens"	"None"	"None"	"None"	"None"	""	""	""	"CHEMBL2276"	"c-Jun N-terminal kinase 1"	"Homo sapiens"	"SINGLE PROTEIN"	"CHEMBL1143787"	"1"	"Scientific Literature"	"Bioorg. Med. Chem. Lett."	"2007"	"None"	""
